Section;G [kg/m];h [mm];b [mm];tw [mm];tf [mm];r [mm];hi [mm];d [mm];A [cm2];AL [m2/m];AG [ m2/t];Iy [cm4 ];Wel.y [cm3];Wpl.y [cm3];iy [cm];Avz [cm2];Iz [cm4 ];Wel.z [cm3];Wpl.z [cm3]; iz [cm];Ss [cm];It [cm4 ];Iw [10^3 cm6]
IPE 550;106.0;550.0;210.0;11.1;17.2;24;515.6;467.6;134.4;1.877;17.79;67110;2440;2787;22.3;72.34;2667;254;400.5;4.4;7.3;122.8;1884
IPE O 500;107.0;506.0;202.0;12.0;19.0;21;468.0;426.0;136.7;1.760;16.4;57770;2283;2612;20.5;70.2;2621;259.5;408.5;4.3;7.4;142.7;1547
IPE V 450;107.0;460.0;194.0;12.4;19.6;21;420.8;378.8;132.0;1.635;15.78;46200;2008;2301;18.7;66.62;2396;247.1;389.1;4.2;7.6;148.8;1156
IPE A 600;108.0;597.0;220.0;9.8;17.5;24;562.0;514.0;137.0;2.013;18.71;82910;2777;3141;24.5;70.13;3116;283.2;442;4.7;7.2;122.1;2607
IPE 600;122.0;600.0;220.0;12.0;19.0;24;562.0;514.0;156.0;2.015;16.46;92080;3069;3512;24.2;83.78;3387;307.9;485.6;4.6;7.8;165.2;2845
IPE O 550;123.0;556.0;212.0;12.7;20.2;24;515.6;467.6;156.1;1.893;15.45;79150;2847;3263;22.5;82.68;3224;304.1;480.5;4.5;8.1;187.1;2302
IPE V 500;129.0;514.0;204.0;14.2;23.0;21;468.0;426.0;164.1;1.780;13.82;70710;2751;3168;20.7;83.16;3271;320.7;506.6;4.4;8.4;241.5;1961
IPE 750 x 134;134.0;750.0;264.0;12.0;15.5;20;719.0;679.0;170.6;2.498;18.55;151890;4050;4678;29.7;97.77;4767;361.2;569.6;5.2;6.6;124.9;6410
IPE 750 x 147;147.0;753.0;265.0;13.2;17.0;20;719.0;679.0;187.5;2.505;16.93;167250;4442;5143;29.7;107.3;5291;399.3;632;5.2;7;163.2;7140
IPE O 600;154.0;610.0;224.0;15.0;24.0;24;562.0;514.0;196.8;2.045;13.24;118300;3878;4471;24.5;104.3;4520;403.6;640;4.7;9.1;316.3;3859
IPE V 550;159.0;566.0;216.0;17.1;25.2;24;515.6;467.6;202.0;1.921;12.12;102330;3616;4204;22.5;109.5;4264;394.8;632.4;4.5;9.5;372.4;3094
IPE 750 x 173;173.0;762.0;267.0;14.4;21.6;20;719.0;679.0;221.3;2.529;14.49;207010;5433;6251;30.5;118.6;6875;515;811.1;5.5;8.1;278.7;9390
IPE V 600;184.0;618.0;228.0;18.0;28.0;24;562.0;514.0;233.8;2.071;11.28;141580;4581;5324;24.6;124.5;5569;488.5;780.3;4.8;10.2;505.8;4813
IPE 750 x 196;196.0;770.0;268.0;15.6;25.4;20;719.0;679.0;250.8;2.546;12.88;241470;6271;7207;30.9;129.7;8177;610.2;960.1;5.6;8.9;416.5;11290
IPE 750 x 220;220.0;779.0;266.0;16.5;30.0;20;719.0;679.0;280.7;2.555;11.56;279390;7173;8231;31.4;139;9443;710;1114;5.7;9.9;620.5;13190
HE 100 AA;12.2;91.0;100.0;4.2;5.5;12;80.0;56.0;15.6;0.553;45.17;236.5;51.97;58.35;3.8;6.147;92.06;18.41;28.44;2.4;2.9;2.325;1.675
HE 120 AA;14.6;109.0;120.0;4.2;5.5;12;98.0;74.0;18.6;0.669;45.94;413.3;75.84;84.11;4.7;6.903;158.8;26.46;40.62;2.9;2.9;2.591;4.242
HE 100 A;16.7;96.0;100.0;5.0;8.0;12;80.0;56.0;21.2;0.561;33.65;349.2;72.75;83.01;4;7.556;133.8;26.76;41.14;2.5;3.5;5.283;2.581
HE 140 AA;18.1;128.0;140.0;4.3;6.0;12;116.0;92.0;23.0;0.787;43.54;719.4;112.4;123.7;5.5;7.922;274.8;39.26;59.93;3.4;3;3.433;10.21
HE 120 A;19.9;114.0;120.0;5.0;8.0;12;98.0;74.0;25.3;0.677;34.04;606.1;106.3;119.4;4.8;8.456;230.8;38.48;58.85;3;3.5;6.041;6.471
HE 100 B;20.4;100.0;100.0;6.0;10.0;12;80.0;56.0;26.0;0.567;27.74;449.5;89.9;104.2;4.1;9.036;167.2;33.45;51.42;2.5;4;9.33;3.375
HE 160 AA;23.8;148.0;160.0;4.5;7.0;15;134.0;104.0;30.4;0.901;37.8;1282;173.3;190.4;6.5;10.37;478.7;59.84;91.36;3.9;3.6;6.431;23.75
HE 140 A;24.7;133.0;140.0;5.5;8.5;12;116.0;92.0;31.4;0.794;32.2;1033;155.3;173.4;5.7;10.12;389.3;55.61;84.84;3.5;3.6;8.101;15.06
